u,p,c,d,campus,address,sourceUrl,verificationUrl,sourceKind,verified,locationMethod,status,id,uid,level,rank,rankLabel,tags,source,retrievedAt,coordinateStatus
成都美术学院,四川省,资阳市,雁江区,校本部（临空校区）,四川省资阳市雁江区资州大道777号,https://my.sccm.edu.cn/index.php?a=show&c=index&id=135&m=special,https://www.sccm.edu.cn/xyjj/showo-7.html,official,True,学校招生章程确认校址；原主管学校官网确认同址位于雁江区,2026招生章程与学校官网交叉核对；未设置伪坐标,V52_8e217d48a7d9ee,4151014985,本科,999999,,[],学校/政府公开资料（V5.2核对）,2026-09-08,未提供经纬度；不绘制伪点位
太原卫生职业学院,山西省,太原市,尖草坪区,校本部,山西省太原市尖草坪区柏板乡中北高新园区国科大街23号,https://zs.tywszyxy.cn/?a=index&c=Lists&m=home&tid=67,,official,True,学校2026招生章程明确地址,学校招生章程核对；未设置伪坐标,V52_bb426d75a27014,4114014954,专科,999999,,[],学校/政府公开资料（V5.2核对）,2026-09-08,未提供经纬度；不绘制伪点位
忻州现代康养职业学院,山西省,忻州市,忻府区,校本部,山西省忻州市九原西街,https://xzxdky.30edu.com.cn/,https://www.gaokao.cn/school/3894,corroborated,False,学校官网街道地址 + 院校档案县区字段,街道地址来自学校官网；忻府区由院校档案县区字段佐证，仍待官网章程完整核验,V52_4cd53d97d7ddfa,4114014955,专科,999999,,[],学校/政府公开资料（V5.2核对）,2026-09-08,未提供经纬度；不绘制伪点位
辛集应用技术职业学院,河北省,石家庄市,辛集市,校本部,河北省辛集市南环路与盛辛路交叉口东南侧,https://career.hebut.edu.cn/home/news/content/id/854.html,,corroborated,False,高校就业平台发布的学校招聘公告明确校址,公开招聘公告核对到辛集市；待学校官网长期页面复核,V52_cbcd69fcebfba9,4113014953,专科,999999,,[],学校/政府公开资料（V5.2核对）,2026-09-08,未提供经纬度；不绘制伪点位
南充卫生职业学院,四川省,南充市,高坪区,校本部,四川省南充市高坪区东顺路55号,https://ncwzy.com/,,official,True,学校招生网明确校址,学校官网核对；未设置伪坐标,V52_614445685be3f1,4151014975,专科,999999,,[],学校/政府公开资料（V5.2核对）,2026-09-08,未提供经纬度；不绘制伪点位
新星职业技术学院,新疆维吾尔自治区,新星市,,校本部,新疆生产建设兵团第十三师新星市黄田鑫苑南路2号,https://www.ccgp.gov.cn/cggg/dfgg/zbgg/202607/t20260725_27008123.htm,,government,True,政府采购公告采购人地址,政府采购公告核对到城市和门牌；当前边界快照无新星市县区细分，未伪造县区,V52_f946467815401e,4165014827,专科,999999,,[],学校/政府公开资料（V5.2核对）,2026-09-08,未提供经纬度；不绘制伪点位
胡杨河职业技术学院,新疆维吾尔自治区,胡杨河市,,校本部,新疆生产建设兵团第七师胡杨河市泰山西路1558号,https://www.nqs.gov.cn/zwgk/fdzdgknr/rsxx/content_9372,,government,True,第七师胡杨河市政府公开信息明确校址,地方政府公开信息核对到城市和门牌；该市无普通县区细分，未伪造县区,V52_80d15b3bd86506,4165014977,专科,999999,,[],学校/政府公开资料（V5.2核对）,2026-09-08,未提供经纬度；不绘制伪点位
河南能源化工学院,河南省,濮阳市,华龙区,校本部,河南省濮阳市华龙区黄河西路249号,https://gongyi.zfcg.henan.gov.cn/cmsweb81e27e/puyang/cgxx/cggg/webinfo/2026/02/1924681.htm,https://www.moe.gov.cn/srcsite/A03/s181/202606/t20260616_1440834.html,government,True,政府采购公开信息确认筹建处地址；教育部确认由河南大学濮阳工学院独立设置,政府公开信息与教育部设置函交叉核对；未设置伪坐标,V52_41e1309c4684cd,4141014980,本科,999999,,[],学校/政府公开资料（V5.2核对）,2026-09-08,未提供经纬度；不绘制伪点位
青岛健康科技职业学院,山东省,青岛市,莱西市,校本部,山东省青岛市莱西姜山产业新城躬仁路567号,https://www.qdjk.edu.cn/2026/0615/c97a287/page.htm,,official,True,学校2026普通高等教育招生章程明确地址,学校招生章程核对；未设置伪坐标,V52_0277b0949364f7,4137014962,专科,999999,,[],学校/政府公开资料（V5.2核对）,2026-09-08,未提供经纬度；不绘制伪点位
四川中医药职业学院,四川省,成都市,彭州市,校本部,四川省成都市彭州市玉竹路433号,https://www.scvctcm.com/article/1287,,official,True,学校2026招生章程明确办学地点,学校招生章程核对；未设置伪坐标,V52_6ea88550271644,4151014973,专科,999999,,[],学校/政府公开资料（V5.2核对）,2026-09-08,未提供经纬度；不绘制伪点位
石家庄康养职业学院,河北省,石家庄市,新华区,校本部,河北省石家庄市新华区友谊北大街565号,https://edu.hebccw.cn/system/2026/07/14/102203553.shtml,https://www.sohu.com/a/1037389473_114068,corroborated,False,省级媒体与2026招生章程转载一致，且与院校档案县区字段一致,多项公开资料交叉核对到新华区；待学校官网长期页面复核,V52_807fb5e51d872c,4113014952,专科,999999,,[],学校/政府公开资料（V5.2核对）,2026-09-08,未提供经纬度；不绘制伪点位
