campus_id,uid,school,campus,address,province,city,round1_category,round2_status,current_gap,round1_reason,round2_reason,round2_blocked_attempted,round2_blocked_unlock,attempted_sources,last_reviewed
PROFILE1077_0,,文华学院,办学地点（档案未命名）,湖北省武汉市东湖高新技术开发区文华园路8号,湖北省,武汉市,M 商业地图定区补救（V5.4 遗留）,HARD-BLOCKED,yes,V5.4 期间以商业地图 POI 定区（landed_d=洪山区）,全库检索后仍无「政府/官方来源 + 洪山区 + 文华园路8号（或同一路名）」的原文；现有唯一写法是功能区名，法定区仅存在于商业地图 POI 与 UGC 文本中。,,,,2026-09-12
PROFILE1114_0,,郑州经贸学院,主校区,河南省郑州市南龙湖宜居教育园区双湖大道2号,河南省,郑州市,M 商业地图定区补救（V5.4 遗留）,HARD-BLOCKED,yes,V5.4 期间以商业地图 POI 定区（landed_d=新郑市）,无任何可打开的政府/官方页面原文同时含「新郑市」与「双湖大道2号/双湖大道」。土地市场网的政府记录仅见于检索摘要，无法打开原文核验，不得作为证据。,,,,2026-09-12
PROFILE1328_0,,黑龙江外国语学院,办学地点（档案未命名）,黑龙江省哈尔滨市利民开发区师大南路1号,黑龙江省,哈尔滨市,M 商业地图定区补救（V5.4 遗留）,HARD-BLOCKED,yes,V5.4 期间以商业地图 POI 定区（landed_d=呼兰区）,学校官网自述地址为“哈尔滨市利民开发区师大南路1号”（功能区名，非法定区）。可用的两条政府检索通道均不可用：哈尔滨市政府站检索 www.harbin.gov.cn/so/s 为 JS 渲染，后端 p.so-gov.cn/query/s 三种参数形式均返回“系统维护中”；黑龙江省教育厅 jyt.hlj.gov.cn 使用同一 so-gov 平台（/so/s?qt=），同样不可用；呼兰区政府 www.hulan.gov.cn 站内检索表单无 action、试 /search.shtml 返回 404 nginx，均无法检索。,,,,2026-09-12
PROFILE1433_0,,武昌职业学院,办学地点（档案未命名）,湖北省武汉市江夏经济开发区藏龙岛办事处中洲大道98号,湖北省,武汉市,M 商业地图定区补救（V5.4 遗留）,RESOLVED,no,V5.4 期间以商业地图 POI 定区（landed_d=江夏区）,已改用可采权威来源,,,http://www.jiangxia.gov.cn/ztzl/sqxzjc/qzgbm/whsjxqjyj_97228/202607/t20260706_2817150.shtml,2026-09-12
PROFILE1530_1,,中原科技学院,郑州校区,河南省郑州市郑东新区郑开大道50号,河南省,郑州市,M 商业地图定区补救（V5.4 遗留）,HARD-BLOCKED,yes,V5.4 期间以商业地图 POI 定区（landed_d=中牟县）,不存在可打开的政府/官方页面原文同时含「中牟县」与「郑开大道50号（或郑开大道）」。,,,,2026-09-12
PROFILE1650_0,,山西工程技术学院,办学地点（档案未命名）,山西省阳泉市开发区学院路1号,山西省,阳泉市,M 商业地图定区补救（V5.4 遗留）,HARD-BLOCKED,yes,V5.4 期间以商业地图 POI 定区（landed_d=郊区）,学校官网“联系地址：山西省阳泉市开发区学院路1号”，无“郊区”。阳泉市郊区人民政府门户（www.yqjq.gov.cn）检索表单指向 /was5/web/search（POST），以 searchword/山西工程技术学院 等参数实测返回 404 Not Found（nginx），检索未部署；阳泉市政府 www.yq.gov.cn 检索跳转 irs-c-web/yqszf/search.shtml，其结果为 Vue 前端模板，检索 JSON 接口未定位成功，未能取得任何把“郊区”与“学院路1号”同现的政府文本。,,,,2026-09-12
PROFILE1674_0,,铁岭师范高等专科学校,办学地点（档案未命名）,辽宁省铁岭市凡河新区黑龙江路45号,辽宁省,铁岭市,M 商业地图定区补救（V5.4 遗留）,HARD-BLOCKED,yes,V5.4 期间以商业地图 POI 定区（landed_d=铁岭县）,辽宁省教育厅全站检索是唯一可用的政府检索通道：检索“黑龙江路”返回 0 条；检索“铁岭师范高等专科学校”13 条均为职教升格答复、双选会新闻、单招院校名单，均不含校址与法定区；检索“凡河新区”仅 2 条且无该校地址。铁岭市政府与铁岭县政府门户均为同一套 /search/pcRender，POST/GET 实测返回固定总数、查询词被忽略；学校官网域名（tlsz.edu.cn、tlszedu.cn、tlptc.edu.cn、tlsf.cn、lntlsz.cn 等）均不解析，tlsf.com.cn 为无关站点，未找到官网地址页。,,,,2026-09-12
PROFILE1923_1,,焦作大学,北校区,河南省焦作市工业路458号,河南省,焦作市,M 商业地图定区补救（V5.4 遗留）,RESOLVED,no,V5.4 期间以商业地图 POI 定区（landed_d=山阳区）,已改用可采权威来源,,,http://hnsggzyjy.henan.gov.cn/jyxx/002002/002002003/20230524/7ce54586-3aa6-4232-95ef-fc230a172d1c.html,2026-09-12
PROFILE2031_0,,长沙电力职业技术学院,办学地点（档案未命名）,湖南省长沙市经济技术开发区盼盼路（泉塘）,湖南省,长沙市,M 商业地图定区补救（V5.4 遗留）,HARD-BLOCKED,yes,V5.4 期间以商业地图 POI 定区（landed_d=长沙县）,无政府/官方原文同时含「长沙县」与「盼盼路（挂靠长沙电力职业技术学院或盼盼路门牌）」。,,,,2026-09-12
PROFILE2042_0,,湖南软件职业技术大学,和平校区（老校区）,湖南省湘潭市湘潭经济技术开发区开源路25号,湖南省,湘潭市,M 商业地图定区补救（V5.4 遗留）,RESOLVED,no,V5.4 期间以商业地图 POI 定区（landed_d=雨湖区）,已改用可采权威来源,,,http://gxt.hunan.gov.cn/gxt/rkb/jsjbkxz/202305/t20230519_29344932.html,2026-09-12
