id,p,c,d,matchTerms,sourceKind,sourceUrl,evidence,retrievedAt
ZONE-JX-NANCHANG-XIAOLAN,江西省,南昌市,南昌县,"['小蓝经济开发区', '小蓝经济技术开发区', '小蓝经开区']",government-district-mapping,https://ncx.nc.gov.cn/ncxrmzf/xzqh/list_tt.shtml,南昌县人民政府2026年行政区划明确将小蓝经济技术开发区列入南昌县现辖行政管理单元。,2026-09-10
ZONE-JX-NANCHANG-XIANGTANG,江西省,南昌市,南昌县,"['向塘经济开发区', '向塘开发区']",government-district-mapping,https://ncx.nc.gov.cn/ncxrmzf/xzqh/list_tt.shtml,南昌县人民政府2026年行政区划明确列出向塘镇（向塘开发区）为南昌县现辖乡镇/开发区。,2026-09-10
ZONE-AH-HEFEI-SHUANGFENG,安徽省,合肥市,长丰县,"['双凤经济开发区', '双凤开发区', '双凤工业区']",government-district-mapping,https://permit.mee.gov.cn/perxxgkinfo/xkgkAction%21xkgk.action?dataid=19ef4f2bc32c4d4eb6e6d46613e3ba3b&xkgk=getxxgkContent,生态环境部排污许可公开信息将“双凤经济开发区”生产经营场所的所在地区明确标为安徽省-合肥市-长丰县。,2026-09-10
ZONE-JX-NANCHANG-HONGGUTAN-LEGACY,江西省,南昌市,红谷滩区,['红谷滩新区'],government-district-mapping,https://hgt.nc.gov.cn/hgtqrmzf/hgtjj/202011/60003c3df6d04eab9cb2527df644eb4d.shtml,红谷滩区人民政府简介记载2002年设立红谷滩新区管委会，2020年正式成为行政区，用于旧地址中的“红谷滩新区”向现行红谷滩区映射。,2026-09-10
ZONE-FJ-FUZHOU-UNIVERSITY-TOWN,福建省,福州市,闽侯县,['福州市大学城'],government-district-mapping,https://www.minhou.gov.cn/xjwz/zwgk/gzdt/mhxw/202502/t20250224_4980171.htm,闽侯县人民政府公开信息将福州大学城作为闽侯县科教名片，并明确其上街片区高校集聚关系。,2026-09-10
ZONE-ZJ-WENZHOU-CHASHAN-HEP,浙江省,温州市,瓯海区,['茶山高教园区'],government-district-mapping,https://www.ouhai.gov.cn/module/download/downfile.jsp?classid=0&filename=bc65ceb5c51042cd84ecd556755b4dee.pdf,瓯海区人民政府公报将温州职业技术学院等地址明确列为温州市瓯海区茶山街道高教园区。,2026-09-10
ZONE-BJ-FANGSHAN-LIANGXIANG-HEP,北京市,北京市,房山区,['良乡高教园区'],government-district-mapping,https://www.bjfsh.gov.cn/zwgk/ysjs/2019n/202011/t20201113_40009160_fs.shtml,北京市房山区人民政府公开北京市房山区良乡高教园区管理委员会职责及园区范围。,2026-09-10
ZONE-JS-NANJING-XIANLIN,江苏省,南京市,栖霞区,['仙林大学城'],government-district-mapping,https://www.nanjing.gov.cn/zdgk/202603/t20260326_5813370.html,南京市政府声环境功能区划在“栖霞区”章节明确列出仙林大学城片区及其边界。,2026-09-10
ZONE-SH-SONGJIANG-UNIVERSITY-PARK,上海市,上海市,松江区,['松江大学园区'],government-district-mapping,https://jpg.zfcg.sh.gov.cn/sh-gov-open-doc/1108QZ/fb8154af-1df1-49c3-887a-88bc32fdf6e5.pdf,上海政府采购文件将华东政法大学地址明确写为上海市松江区松江大学园区龙源路555号。,2026-09-10
ZONE-YN-KUNMING-CHENGGONG-UNIVERSITY-TOWN,云南省,昆明市,呈贡区,['呈贡大学城'],government-district-mapping,https://www.yn.gov.cn/yngk/lyyn/lydt/201311/t20131127_151450.html,云南省人民政府公开信息明确“呈贡区依托呈贡大学城集聚功能”。,2026-09-10
