campus_id,uid,school,campus,address,province,city,status,failure_reason,failure_reason_detail,attempted_sources,last_reviewed
PROFILE1961_0,4142014061,三峡电力职业学院,办学地点（档案未命名）,湖北省宜昌市绿萝路36号,湖北省,宜昌市,RESOLVED,—,政府/教育系统官方,http://so.yichang.gov.cn/search?key=三峡电力职业学院 → 命中宜昌市自然资源局测绘资质公开表; http://zrzy.yichang.gov.cn/content-42422-21299-1.html → 命中「宜昌市西陵区绿萝路 36 号」原文; https://tgcep.ceec.net.cn/ → TLS 不可达（自签证书/连接失败）,2026-09-12
PROFILE125_4,4131010248,上海交通大学,黄浦校区,上海市重庆南路227号,上海市,上海市,RESOLVED,—,学校官网,https://www.shsmu.edu.cn/ — 200，页脚仅『黄浦校区：上海市重庆南路227号』，无区名; https://www.shsmu.edu.cn/lxwm.htm — 404; http://chdi.shsmu.edu.cn/ — DNS ENOTFOUND; https://www.shsmu.edu.cn/chdi/yjtd1/yjs1.htm — 200，命中『地址：上海市黄浦区重庆南路227号』（采用）; 搜狗检索『重庆南路227号 黄浦区』— 用于发现上述 shsmu.edu.cn 子页面,2026-09-12
PROFILE135_2,4131010255,东华大学,新华路校区,上海市新华路365弄6号,上海市,上海市,RESOLVED,—,学校官网,http://xxgk.dhu.edu.cn/2023/0901/c22501a329141/page.htm — 信息公开网「办学地点」文档：命中「新华路校区：上海市长宁区新华路365弄6号，邮编：200052」（采用，200 且正文可读）; http://xxgk.dhu.edu.cn/1w1xxjbqk/list.htm → 该栏目页列出「办学地点（校办）」指向上述文档，为定位入口; http://xxgk.dhu.edu.cn/21681/list.htm 、http://xxgk.dhu.edu.cn/18338/list.htm — 均返回「找不到对应的栏目」，栏目编号与实际路径不符，改用 /1w1xxjbqk/list.htm 后定位成功; https://zs.dhu.edu.cn/2026/0528/c9563a376561/page.htm — 2026年本科招生章程，逐字「学校地处上海，设有三个校区（地址分别为：上海市延安西路 1882 号、上海市松江区人民北路 2999 号、上海市新华路 365 弄 6 号）」，确认门牌现行、但无区名; https://www.dhu.edu.cn/ 学校简介 — 列松江校区、延安路校区、新华路校区三校区，无区名; https://xxgk.dhu.edu.cn/_web/_search/api/search/new.rst?...&q=新华路 — 博达站内检索 API 无命中,2026-09-12
PROFILE564_3,4111010047,中央美术学院,上海校区,上海市临港南汇新城镇环湖南二路1099号,上海市,上海市,RESOLVED,—,学校官网,"WebSearch「中央美术学院 上海校区 环湖南二路1099号 浦东新区」→ 未执行，本 session WebSearch 配额已用尽（200/200）; WebSearch「""环湖南二路1099号"" 中央美术学院 临港」→ 未执行，同上配额耗尽; https://www.cafa.edu.cn/ （curl，绕过证书链问题）→ 200，取得站内导航与搜索入口; http://www.cafa.edu.cn/ → 302 跳 HTTPS，TLS 证书链问题正是上一轮失败原因; https://www.cafa.edu.cn/search/?keyword=中法艺术与设计管理学院 → 200，列出 10 条中法学院相关页面; https://www.cafa.edu.cn/search/?keyword=环湖南二路 → 无相关结果; https://www.cafa.edu.cn/search/?keyword=浦东新区 → 无相关结果; https://www.cafa.edu.cn/sp/campus/ → 校园文化页，无地址信息; https://www.cafa.edu.cn/st/2016/9018887.htm →2016 年上海校区启动新闻，写「落户上海临港主城区」「在上海浦东新区区委、区政府的大力支持下」，但未把门牌与法定区写在同一句; https://www.cafa.edu.cn/st/2021/90121218.htm → 2021 年临港新片区党工委书记调研新闻，写「中央美术学院中法艺术与设计管理学院在浦东办学」，仅有「浦东」非「浦东新区」; https://www.cafa.edu.cn/st/2022/90221789.htm → 招聘公告，落款地址为北京花家地南街8号（校本部），非上海校区; https://www.cafa.edu.cn/sp/nljg/?j=172 → 命中：中法学院介绍页写「校址:上海市浦东新区环湖南二路1099号」; https://xxgk.cafa.edu.cn/ → 200，但首页无校区地址; https://zhaosheng.cafa.edu.cn/ → DNS 解析失败; https://zs.cafa.edu.cn/ → 连接超时; https://www.pudong.gov.cn/ → 504 Gateway Time-out（未作为证据）",2026-09-12
PROFILE194_0,4136011843,九江学院,主校区,江西省九江市前进东路551号,江西省,九江市,RESOLVED,—,学校官网,https://www.jju.edu.cn/xxgk/xxjj.htm → 200，仅「江西省九江市前进东路551号」，无区名; http://job.jju.edu.cn/ → 200，命中「江西省九江市濂溪区前进东路551号九江学院主校区」，accept 依据; WebSearch 九江学院 前进东路551号 濂溪区 → 本会话 WebSearch 配额已耗尽(200/200)，未执行,2026-09-12
PROFILE194_1,4136011843,九江学院,浔东校区,江西省九江市浔阳东路320号,江西省,九江市,RESOLVED,—,学校官网,https://www.jju.edu.cn/ 首页：仅列「学校地址：江西省九江市前进东路551号」，无浔东校区 → 失败; https://www.jju.edu.cn/info/1224/83762.htm 2022年九江学院专升本学生入学须知：命中「九江市浔阳区浔阳东路320号，浔东校区思贤楼503室」; http://www.jju.edu.cn/info/1224/85962.htm 2023年九江学院专升本入学须知：命中「九江市浔阳区浔阳东路320号，浔东校区附楼医务室209室」; 搜索出口：WebFetch/curl 打开 m.sogou.com 命中官网正文页并提取出 pcurl 真实链接；百度/360/搜狗桌面版/cn.bing.com 均被反爬或返回无关结果,2026-09-12
PROFILE2167_0,4153012357,云南交通职业技术大学,呈贡校区,云南省昆明市呈贡大学城万青路2056号,云南省,昆明市,RESOLVED,—,学校官网,https://www.ynjtc.com/info/2251/66322.htm（学校官网采购公告，采购人信息逐字“地址：云南省昆明市呈贡区万青路2056号” ← 采纳证据）; http://www.ynjtc.com/（学校官网首页，可达）,2026-09-12
PROFILE2169_0,4153012555,云南农业职业技术学院,茭菱校区,云南省昆明市茭菱路128号,云南省,昆明市,RESOLVED,—,学校官网,https://www.ynavc.com/main/news/show/22007 (旧URL；仅写“昆明市茭菱路128号”，无区名); https://www.ynavc.com/ (首页页脚同样只写“昆明市茭菱路128号”); https://www.ynavc.com/main/news/word/55?page=5 (校方通知公告列表，定位到 2026.05.07 该公告 /main/news/show/20849); https://www.ynavc.com/main/news/show/20630 (命中：五华区茭菱路128号); https://www.so.com/s?q=茭菱路128号 五华区 (仅地图/商业站第三方命中五华区); https://www.so.com/s?q=茭菱路128号 采购人地址,2026-09-12
PROFILE2175_0,4153013136,云南能源职业技术学院,麒麟校区,云南省曲靖市职教园区文苑北路,云南省,曲靖市,RESOLVED,—,政府/教育系统官方,http://www.ql.gov.cn/news/detail/szjs/76198.html（麒麟区人民政府网站，来源麒麟区住建局，逐字含“麒麟区职教园区…文苑北路顶管工程” ← 采纳证据）; http://www.ql.gov.cn 站内搜索（得到“曲靖市麒麟区文华街道文苑北路23号”等命中）; https://www.ynny.edu.cn/ 与 https://www.ynny.edu.cn/ztb/zbjggs.htm（云南能源职业技术学院官网/招标页，页脚地址“云南省曲靖市职教中心文苑北路8号”，校方自称未写法定区）,2026-09-12
PROFILE1834_0,4134013343,亳州职业技术学院,办学地点（档案未命名）,安徽省亳州市药都路1625号,安徽省,亳州市,RESOLVED,—,政府/教育系统官方,https://www.bzy.edu.cn/zsjy/content_50656 — 学校官网2026年招生章程：办学地址 亳州市药都路 1625号，无区名（连续），未能作为证据; https://ggzy.bozhou.gov.cn/jyxx/002002/002002004/20251023/35cf4116-b952-4b98-97d1-3f6f2f3da8ba.html — 命中「亳州职业技术学院 … 地 址：亳州市谯城区药都路1625号」; https://ggzy.bozhou.gov.cn/jyxx/002002/002002012/20251229/b244a097-fb6d-4703-b334-c87024aa5112.html — 同平台另一采购公告，地址栏同源，未逐字展开; 360地图 POI「亳州职业技术学院 地址：亳州市谯城区药都路1625号」— 仅作线索，不作为证据,2026-09-12
